Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 124.0.0.0,,,05-05-2024 07:58:00,05-05-2024 07:58:01,0.967s,PASSED
maximizeWindow(),Chrome 124.0.0.0,,,05-05-2024 07:58:01,05-05-2024 07:58:01,0.139s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 124.0.0.0,,,05-05-2024 07:58:01,05-05-2024 07:58:09,7.261s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 124.0.0.0,,,05-05-2024 07:58:09,05-05-2024 07:58:09,0.842s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 124.0.0.0,,,05-05-2024 07:58:09,05-05-2024 07:58:10,0.810s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 124.0.0.0,,,05-05-2024 07:58:10,05-05-2024 07:58:11,0.447s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 124.0.0.0,,,05-05-2024 07:58:11,05-05-2024 07:58:12,1.004s,PASSED
"selectOptionByValue(findTestObject(""Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), healthcare, true)",Chrome 124.0.0.0,,,05-05-2024 07:58:12,05-05-2024 07:58:13,1.152s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/input_None_programs"", [""program"":""radio_program_medicaid""]))",Chrome 124.0.0.0,,,05-05-2024 07:58:13,05-05-2024 07:58:13,0.428s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""), date)",Chrome 124.0.0.0,,,05-05-2024 07:58:13,05-05-2024 07:58:14,0.829s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/textarea_Comment_comment""), comment)",Chrome 124.0.0.0,,,05-05-2024 07:58:14,05-05-2024 07:58:15,1.018s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 124.0.0.0,,,05-05-2024 07:58:15,05-05-2024 07:58:16,0.760s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Hongkong CURA Healthcare Center""), ver_healthcare)",Chrome 124.0.0.0,,,05-05-2024 07:58:16,05-05-2024 07:58:16,0.463s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_None""), ver_program)",Chrome 124.0.0.0,,,05-05-2024 07:58:16,05-05-2024 07:58:17,0.529s,FAILED
,,,,,,,
Test Cases/Data-Driven Testing/DemoAut - useVar,Chrome 124.0.0.0,,,05-05-2024 07:58:17,05-05-2024 07:58:25,8.109s,FAILED
"openBrowser("""")",Chrome 124.0.0.0,,,05-05-2024 07:58:17,05-05-2024 07:58:18,0.959s,PASSED
maximizeWindow(),Chrome 124.0.0.0,,,05-05-2024 07:58:18,05-05-2024 07:58:18,0.155s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 124.0.0.0,,,05-05-2024 07:58:18,05-05-2024 07:58:21,2.969s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 124.0.0.0,,,05-05-2024 07:58:21,05-05-2024 07:58:22,0.850s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 124.0.0.0,,,05-05-2024 07:58:22,05-05-2024 07:58:23,0.788s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 124.0.0.0,,,05-05-2024 07:58:23,05-05-2024 07:58:23,0.427s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 124.0.0.0,,,05-05-2024 07:58:23,05-05-2024 07:58:24,0.979s,PASSED
"selectOptionByValue(findTestObject(""Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), healthcare, true)",Chrome 124.0.0.0,,,05-05-2024 07:58:24,05-05-2024 07:58:25,0.954s,FAILED
